name,writer,text,cc,tags
3월 1일이 온다, 임화 ,"
삼월일일 이 온다
언 살결에
한층
바람이 차고
눈을 떠도
눈을 떠도
티끌이
날려오는 날
봄보다도
먼저
온다
불행한
동포의
머리 우에
자유 대신
깃발이
늘어진
외국관서의
지붕 우
조국의 하늘이
각각 으로
나려앉는
서울
우리는
삼월일일 이
남조선
민주의원 의
흘린 피의
더운 느낌과
가득하였던
만세소리의
기억과 더불어
인민의 자유와
민주조선의 깃발을
가슴에 품고
눈을 떠도
눈을 떠도
티끌이
날려오는 날
봄보다도
일찍 오는
섰다.
삼월일일 앞에
",자유이용 만료,#
4월 점묘, 고석규 ,"
사월
점묘
하늘이 졸려오는 낮무렵
인적없는 다리 위에서
하얀 편지를 찢어 보낸다.
물오리 헤여가는
낙엽수 강가로 빛나 오르며
저마다 지런거리는
사월의 눈물을 손으로 가린다.
멀리 기적이 떠오는
",자유이용 만료,희망
5월 아침, 김영랑 ,"5월 아침
비 개인 5월 아침
혼란스런 꾀꼬리 소리
찬엄한 햇살 퍼져 오릅내다
이슬비 새벽을 적시울 즈음
두견의 가슴 찢는 소리 피어린 흐느낌
한 그릇 옛날 향훈이 어찌
이 맘 홍근 안 젖었으리오마는
이 아침 새 빛에 하늘대는 어린 속잎들
저리 부드러웁고
발목은 포실거리어
꾀꼬리는 다시 창공을 흔드오
자랑찬 새 하늘을 사치스레 만드오
사향 냄새도 잊어버렸대서야
불혹이 자랑이 아니 되오
아침 꾀꼬리에 안 불리는 혼이야
새벽 두견이 못 잡는 마음이야
한낮이 정밀하단들 또 무얼하오
저 꾀꼬리 무던히 소년인가 보오
새벽 두견이야 오랜 중년이고
내사 불혹을 자랑턴 사람.
접힌 마음 구긴 생각 이제 다 어루만져졌나보오
",자유이용 만료,#
5월의 노래, 김명순 ,"5
월의 노래2
보리 이삭에 봄바람이야
종다리의 노래 구름 속에 울어
나즈레한 봄 하늘 드높은 노래 품고
물 흐린 못 밑에 비칠 때 오오
거룩한 월의 노래 오랜 대로동그란 연잎이 물 위에 뜬다
지구의 한끝같이 멀어지는 길을
맺히고 맺힌 생각에 두 손길을 잡고
울리는 가슴을 정밀히 누를 때
높은 산봉우리 위에 우렁찬 노래
온 세상에 사무쳐 빛내는 뜻은
그 아픈 이별이 남기신 말씀이다
조선문단
, 1925
년 월 일5",자유이용 만료,슬픔
5월의 노래2, 김명순 ,"5
월의 노래
종다리의 노래 구름 속에 울어
나즈레한 봄 하늘 드높은 노래 품고
흐린 못물을 밝게 비칠 때
돌돌 말린 연잎이 째긋이 움 나온다
처녀의 노래 산 위에 우렁차
북방에 길 떠나신 임 그립다고
타는 가슴에 두 손길을 얹어
그리운 노래 온 세상에 사무칠 때
깊은 정이 머언 길을 없이한다
꽃가지마다 빛 다른 나비들은
그 안길 품을 그리어 춤추고
바람결마다 쑥스러운 풀씨들은
그 앉을 자리를 찾아 휘날린다 고
부르는 월의 노래 인정을 궁굴린다조선시인선집
, 1926, 10
13
월 일",자유이용 만료,그리움1
5월의 바람, 박인환 ,"5
월의 바람
그 바람은
세월을 알리고
그 바람은
내가 쓸쓸할 때 불어온다
그 바람은
나에게 젊음을 가르치고
그 바람은
봄이 떠나는 것을 말한다
그 바람은
눈물과 즐거움을 갖고 있다
그 바람은월의 바람학원 1956. 5
",자유이용 만료,고독
5일밤 산보, 김소월 ,"
오일 밤
산보
초여드래 넘으며
밤마다도 달빗은 밝아오는데,
이제 스므날 지는밤마다밤마다도
들에건일기조흐리라 바로지금이로쳐.
논드렁좁은길 엇득엇득하지만
우거진아카시아숩아레 배여오는
향기 는
건드리는바람에 빗겨라 풀숩사이로,
밤일하는
농부 의 담배불일희슴프레보이는것 달빗에 번듯이며,
저허넘엇 편 치다라 버든고개로
네활개치면서
점은길손 지내는구나.
도라가는좁은길은 좃차업는데,
가다가는 멈추고읏득서서
넉업시 풀버레소리를드러라,
프른하늘아레의밤은희고밝은데.
아주 밤은점점깁느냐,
인간 보다도 달빗이 더 갓갑아오누나
외롭은몸에는 지어바린
세상 이어기대 나잇드냐
희망 이나 잇드냐 이제조차수여가자 더욱 이 청 풀판이 좃쿠나프릇스럼한문의여 얼는달빗에
번득이는 이슬방울은 벌서도채엇구나,
그저그저 이대로건일다가 드러가나잠자자.
조선문단
121925.10,.121122.
",자유이용 만료,#
61 일의 계단의 회고, 신채호 ,"13561
일의 계단의 회고
한 뼘쯤 되는 자리에 비비고 드러누우니
공기야 좋든 말든 이나 아니 물었으면
아무리 이가 물지라도 긁을 수나 있었으면
서너 겹 옷을 입고 대웅전에 올라서니
옷 속의 뭇이
군슬 들은 조찬회를 하는고나
여래
가 어질다더니 악형을 하십니다상오 두시에 눈 비비고 일어나서
하오 열시까지 절하기로 판을 짠다
인제야 뻣뻣한 허리 버릇을 떼는고나
삼월 십일에 이 문에 들어올 때
매화 한 송이도 필 염두를 안 냈더니
온 나무가 텅 비었고나
여래의 년49
손끝 혀끝 다 놀리어 얻은 바 무엇이냐?
걸식 단장
실직
이다걸식에 배가 부르매 설법
을 하였고나
허리를 안 굽히고 팽택령
을 내어 놓으며
표주박 손에 들고 빌어 먹던 도연명네 참말 고사
이다
참 절 한 번 받아라
절하고 나오는 동안에
육십일일 만에 배례
가 시필
",자유이용 만료,#
6월의 아침, 이효석 ,"6
월의 아침
월6
아침
신선한 맥박은 푸른 잎처럼 건강하다
야채가게 앞은
아침 세례를 받아서
생기 있는 채마밭이 아름다워라
반짝이는 은화
로 셈을 치르고
생활의 바구니는 풍요롭게 빛나고
그녀의 뒤꿈치는 기운차게 돌았다
어디선가
아침 체조의 구령소리가
힘차게 울려 퍼진다
식기
부딪치는 소리가 흐른다아
아름다운 오늘에 의 찬가가 들려 온다
청량 호4
1927.1.31
",자유이용 만료,활기
9월의 시(詩), 함형수 ,"9월의 시 
                         
하늘 끝없이 멀어지고 
물 한없이 차지고 
그 여인 고개 숙이고 수심지는 9월. 
기러기떼 하늘가에 사라지고 
가을잎 빛 없고 
그 여인의 새하얀 얼굴 더욱 창백하다. 
눈물 어리는 9월. 
구월의 풍경은 애처러운 한 편의 시. 
그 여인은 나의 가슴에 파묻혀 우다. 
",자유이용 만료,슬픔
AUMAGASIN DE NOUVEAUTES, 이상 ," 건축무한육면각체
사각형의내부의사각형의내부의사각형의내부의사각형의내부의사각형.
사각이난원운동의사각이난원운동의사각이난원.
비누가통과하는혈관의비눗내를투시하는사람.
지구를모형으로만들어진지구의를모형으로만들어진지구.
거세된양말 그여인의이름은워어즈였다빈혈면포  당신의얼굴빛깔도참새다리같습네다.
평행사변형대각선방향을추진하는막대한중량.
마르세유의봄을해람
한코티의향수의맞이한동양의가을쾌청의공중에붕유
하는 백호회충양약
이라고씌어져
있다.
옥상정원 원후를흉내내고있는마드모아젤만곡
된직선을직선으로질주하는낙체공식시계문자반에 에내리워진일개의침수된황혼도어
의내부의도어
의내부의조롱
의내부의카나리아의내부의감
살문호
의내부의인사식당의문간에방금도달한자웅
과같은붕우
가헤어진다파랑잉크가엎질러진각설탕이삼륜차에적하된다.
명함을짓밟는군용장화 가구를질구
하는조화금련위에서내려오고밑에서올라가고위에서내려오고밑에서올라간사람은밑에서올
라가지아니한위에서내려오지아니한밑에서올라가지아니한위에서내려오지아니
한사람.
저여자의하반은저남자의상반에흡사하다 나는애련한해후에애련하는나사각이난케이스가걷기시작이다 소름끼치는일이다라디에이터의근방에서승천하는굿바이.
바깥은우중발광어류의군집이동",자유이용 만료,#
Be nobler!, 박용철 ," !
      
더 높아져라 닿을 길 없이 높아지거라머언 하늘 푸른 자리 그윽히 빛나거라.
내 맘의 맑은 샘에 네 얼굴 잠기나니
별같이 차신 님을 그려봄만 자랑이리.
그러나 가슴 깊이 떨리는 두려움은산기슭 히야신스 목동의 발에 맡겨
맑은 샘 던지는 돌 흙장을 일으킬까 
오 영원한 이 거울이 산산이 부서지면!
높아져라 더 높아지거라 닿을 길 없이별같이 차신 님를 그려봄만 자랑이리.
",자유이용 만료,#
ELEGIE, 윤곤강 ,"
안개처럼 가라앉은
마음의 변두리에
악마가 푸른 눈초리로
슬며시 엿보는 밤
죽지 않는 정열의
풍차 가
저절로 미쳐서 빙빙 돌다가
제풀에 지쳐 주저앉은 시간이다
송장처럼 다문 입술 위에
까마귀처럼 떠도는 벙어리 침묵이
가없는 밤의 캠버스 위에다
자줏빛
주문 을 그려놓는 순간
눈물에 녹아 흐른 마음은
미친 바람에 취한 물고기처럼
슬픔의 바다 한복판에 자맥질치고
넋이 날아간 몸둥아리는
어미 잃은 송아지처럼 밤 새워 우노니
나의 파로
마야 너는 갔느냐",자유이용 만료,#
FINALE, 오장환 ,"
경이 는 아름다웠다 모두가 다스한 숨결 비둘기 되어 날아가누나.하늘과 바다 자랑스런 슬픔도 고운 슬픔도 다.삭은 이정표 이제는 무
수한 비둘기 되어.
그대 섰는 발밑에 넓고 설운 강물은 흘러가느니사화산이여 아 이땅에 다다른 왼 처음의 산맥 내 슬픔이 임종하노라 내 보람 임종하노라.내 먼저 눈을 다 가린다 나의 피앙세.
영영 숨을 모으는 그의 머리맡에서 내 먼저 눈을 가린다 즐거이 부르던네 노래 부를 수 없고 고운 얼굴 가리울 희디흰 장미 한 가지 손 앞에 없어
자욱한 안개 지줄지줄 지줄거리는 하늘 밑에서 학처럼 떠난다 외롬에.하잔히 적시운 희고 쓸쓸한 날개를 펴 말없이 카오스에서 떠나가는 학.
두 줄기 흐르는 눈물 어찌다 스며드느냐 한철 뗏목은 넓고 설운 강물에흘러나리어 위태로운 기슭마다 차고 깨끗한 이마에 한 줄기 고운 피 흘리며 떠나는 님을 보내며 두 줄기 스미는 눈물 어찌라 어찌라 나 홀로 고..
향에 머물러 옷깃을 적시나니까.
",자유이용 만료,#
Gondnawa 대육(大陸)!, 황석우 ,"
대륙곤드나와
대륙 은어느수리개가처갓나곤드나와
대륙 은누가비여갓소곤드나와
대륙 은
이첩기 의
빙설 이먹고그대로싸러저바렷나
아 아 곤드나와
대륙 이어대로자최를감초인뒤엔
대서양 과
인도양 은그눈에그넓은가슴우에
눈물푸르게깁게괴히고서로설게
설게 갈니워잇소
",자유이용 만료,#
I Wed A Toy Bride, 이상 ,"    
1 밤2 밤
작난감살결에서 이따금 내음새가 나기도한다. 머ㄹ지 아니하여 아기를나으려나보다. 
불을 끄고 나는 작난감귀에다 대이고 꾸즈람처럼 속사겨본다.
그대는 꼭 갖난아기와 같다고......
작난감는 어둔데도 성을내이고 대답한다.
까지 갔다왔답니다
작난감는 낮에 이을해가지고온것인지도모른다.
내처럼 내가슴안에서 따근따근하다. 이렇게 내를 코로
맡기만하니까 나는 자꾸 해간다.
작난감에게 내가 바늘을주면 작난감는 아무것이나 막 찔른다. . . . 내 몸 
내 내 이들어앉아있음즉한곳.
이것은 작난감마음속에 가시가 돋아있는다. 즉 꽃처럼......
내 가벼운 에서 피가좀난다. 나는 이 채기를 고치기 위하여 날만어두면 어둔속에서 싱싱
한을먹는다. 몸에 반지밖에 가지지않은 작난감는 어둠을 커틴열듯하면서 나를 찾는다
. 얼른 나는 들킨다. 반지가 살에닿는것을 나는 바늘로잘못알고 아파한다.
촉불을 켜고 작난감가 을 찾는다.
나는 아파하지않고 모른체한다
",자유이용 만료,#
Invocation, 박용철 ,"
겨울은 이미 오래다 봄이여 오봄아
너의 걸어옴이 너무 더디고나
이 답답한 구름이 끼인 지 오래다 해야
너의 나타남이 너무 드물고나
치위와 어둠에 우리의 숨 그치기 전에
우리의 핏줄에 새 피를 부어넣주라
팔들은 마른 가지같이 하늘로 뻗치고
눈은 그리움에 겨워 멀거니 바람나니
무겁게 나려디린 장막을 헤치고
앞가림 들치며 용상에 나앉는
왕자 같이
너의 불그레한 밝은 낯을 내어놓라
기다림에 지친 우리의 절을 받아주라
쇠뚜껑같이 까딱않는 구름을 깨치고
막을 길 없는 너의 힘을 우리게 베풀어주라
",자유이용 만료,#
LA PALOMA, 윤곤강 ," 
물찬 제비로다
이렇게 말해봐도 시원치 않다
죄스러울 듯 귀여운 그 모양
이무기처럼 징그럽도다
고운 눈초리
앵두처럼 새빨갛도다
기름진 입술
능금처럼 먹고 싶도다
뜨거운 볼따구니
박꽃인 양 하얗도다
벌어진 이빨
버들인 양 하늘거리도다
호촐대는 허릿통
제비인 양 날아갈 듯
날씬한 몸 맵시로다
두 손으로 턱을 고이고 말없이 앉아
무서운 듯 어여쁜 그 모양을 쏘아볼 때
빵긋 웃는 백합꽃이 송이송이 피어난다
",자유이용 만료,#
Le Urine, 이상 ," 
   불길과같은바람이불었건만불었건만얼음과같은수정체는있다. 우수는와같이순
백하다. 녹색풍경은망막에다무표정을가져오고그리하여무엇이건모두회색의명랑한색조로다. 
   들쥐야서와같은험준한지구등성이를포복하는짓은대체누가시작하였는가를수척하고왜소한
을애무하면서역사책비인페이지를넘기는마음은평화로운문약이다. 그러는동안에도
매장되어가는고고학은과연성욕을느끼게함은없는바가장무미하고신성한미소와더불어소규모
하나마이동되어가는실계과같은동화가아니면아니되는것이아니면무엇이었는가. 
   진녹색납죽한사류는무해롭게도수영하는유리의유동체는무해롭게도반도도아닌무명의산악을
도서와같이유동하게하는것이며그럼으로써경이와신비와또한불안까지를함께뱉어놓는바투명
한공기는북국과같이차기는하나양광을보라. 까마귀는흡사공작과같이비상하여비늘을질서없이
번득이는반개의천체에금강석과추호도다름없이평민적윤곽을일몰전에빗보이며교만함은없이
소유하고있는것이다. 
   이러구러숫자의을망각하였던약간소량의뇌장에는설탕과같이청렴한이국정조
로하여가수상태를입술위에꽃피워가지고있을즈음번화로운꽃들은모두어데로사라지고이것을
목조의작은양이두다리를잃고가만히무엇엔가귀기울이고있는가. 
   수분이없는증기하여온갖고리짝은마르고말라도시원치않은오후의해수욕장근처에있는휴업일
의조탕은파초선과같이비애에분열하는원형음악과휴지부, 오오춤추려므나일요일의뷔너스여, 
목쉰소리나마노래부르려므나일요일의뷔너스여. 
   그평화로운식당또어에는백색투명한이라문패가붙어서한정없는전화를피로하
여위에놓고다시백색여송연을그냥물고있는데. 마리아여, 마리아여, 피부는새까만마리아여
어디로갔느냐, 욕실수도콕크에선열탕이서서히흘러나오고있는데가서얼른어젯밤을막으렴, 나
는밥이먹고싶지아니하니슬립퍼어를축음기위에얹어놓아주려무나. 
   무수한비가무수한추녀끝을두드린다두드리는것이다. 분명상박과하박과의공동피로임에틀림없
는식어빠진점심을먹어볼까ㅡ먹어본다. 만도린은제스스로포장하고지팽이잡은손에들고자그마
한삽짝문을나설라치면언제어느때향선과같은황혼은벌써왔다는소식이냐, 수탉아, 되도록이면
순사가오기전에고개숙으린채미미한대로울어다오, 태양은이유도없이사보타아지를자행하고있
는것은전연사건이외의일이아니면아니된다.    
",자유이용 만료,#
